iter	RMSE
0	3860.16625
1	3724.702808
2	3596.398606
3	3469.759971
4	3347.200532
5	3231.058126
6	3115.898127
7	3009.416217
8	2905.435342
9	2803.135828
10	2706.135264
11	2616.147052
12	2527.553145
13	2442.1842
14	2359.924933
15	2281.583949
16	2207.122
17	2139.857456
18	2072.543739
19	2005.240163
20	1942.623341
21	1881.248159
22	1822.297608
23	1764.912702
24	1709.969424
25	1656.55981
26	1606.777438
27	1558.121257
28	1512.597974
29	1467.786712
30	1425.509838
31	1385.823955
32	1346.924067
33	1310.361036
34	1274.225504
35	1239.50926
36	1207.539637
37	1177.208747
38	1147.113276
39	1119.035474
40	1092.658949
41	1068.581001
42	1044.470189
43	1021.08411
44	998.7891098
45	977.6692579
46	958.6997301
47	939.4026096
48	921.091645
49	903.7434906
50	887.559889
51	871.6567552
52	856.9117167
53	842.7001136
54	828.7198592
55	815.4990581
56	802.6309133
57	791.1613812
58	779.0983797
59	767.9096683
60	757.7061015
61	747.9422023
62	738.1647354
63	729.0556858
64	720.6670641
65	712.4552384
66	704.6733292
67	697.8028838
68	691.2703347
69	684.5816205
70	678.2614155
71	672.520881
72	666.8722055
73	661.4134844
74	655.7685802
75	650.8346726
76	645.6916313
77	641.2084589
78	636.7743411
79	632.3559774
80	628.0300627
81	624.5255659
82	620.6652515
83	617.1126817
84	613.753296
85	610.6710552
86	607.4769945
87	604.8275443
88	602.0007166
89	599.5317158
90	596.665296
91	594.199335
92	591.8042415
93	589.7223101
94	587.4119545
95	585.4058583
96	583.5118331
97	581.8499458
98	579.9592512
99	578.5247388
100	576.5844344
101	574.8743069
102	573.4362755
103	571.7558863
104	570.2077226
105	568.7394058
106	567.4943723
107	565.9662045
108	564.5712823
109	563.2375062
110	561.8909615
111	560.7331653
112	559.6888715
113	558.7674879
114	557.5969651
115	556.5311608
116	555.5431691
117	554.5985532
118	553.7527859
119	552.8488591
120	551.791009
121	550.9273789
122	549.8795381
123	549.3203729
124	548.4282446
125	547.6087685
126	546.9922327
127	546.0557059
128	545.4108978
129	544.8728548
130	544.1170388
131	543.5168478
132	542.8048032
133	542.0175844
134	541.3075216
135	540.6924914
136	540.0447733
137	539.5038837
138	538.7974972
139	538.2946272
140	537.7627556
141	537.1757134
142	536.6388876
143	535.8796283
144	535.3448372
145	534.6374317
146	534.3432668
147	533.850751
148	533.4067113
149	533.0213403
150	532.5026412
151	532.0368156
152	531.4998663
153	530.9650422
154	530.5836818
155	530.0842232
156	529.7865571
157	529.4283702
158	529.0786548
159	528.6759641
160	527.9833332
161	527.2630072
162	526.887874
163	526.5973211
164	526.0259791
165	525.4339642
166	525.1572957
167	524.6028278
168	524.0804987
169	523.7652278
170	523.4672004
171	523.0609295
172	522.730554
173	522.1326061
174	521.6411077
175	521.2853253
176	520.906868
177	520.5571652
178	520.211987
179	520.0037286
180	519.7063487
181	519.4678256
182	519.0877179
183	518.8223182
184	518.4182733
185	518.1891159
186	517.5802929
187	517.192395
188	516.6736856
189	516.2431368
190	516.0463634
191	515.4680541
192	515.3669026
193	515.0944484
194	514.6197384
195	514.0437242
196	513.7070329
197	513.3791537
198	512.9598231
199	512.5729513
200	512.2161182
201	511.9268697
202	511.3805888
203	511.2266904
204	510.848888
205	510.5124674
206	510.285343
207	510.0228166
208	509.7565362
209	509.5779321
210	509.1652518
211	509.058527
212	509.018188
213	508.7318724
214	508.4430322
215	508.3326937
