iter	Passed	Remaining
0	23	14042
1	44	13256
2	67	13354
3	92	13815
4	115	13717
5	146	14550
6	205	17402
7	239	17693
8	264	17392
9	282	16682
10	304	16285
11	322	15793
12	343	15527
13	360	15078
14	378	14770
15	395	14448
16	410	14090
17	417	13508
18	434	13286
19	450	13063
20	468	12903
21	486	12788
22	503	12638
23	523	12564
24	557	12817
25	604	13353
26	629	13361
27	651	13312
28	669	13188
29	689	13096
30	708	13002
31	728	12930
32	748	12863
33	766	12762
34	785	12673
35	803	12588
36	823	12531
37	844	12490
38	863	12415
39	890	12464
40	911	12424
41	932	12382
42	950	12314
43	973	12307
44	990	12222
45	1006	12126
46	1023	12041
47	1039	11958
48	1056	11878
49	1071	11784
50	1087	11704
51	1103	11627
52	1119	11556
53	1136	11487
54	1152	11422
55	1168	11352
56	1184	11285
57	1200	11218
58	1216	11150
59	1230	11075
60	1246	11013
61	1265	10978
62	1281	10919
63	1296	10855
64	1311	10793
65	1326	10735
66	1343	10685
67	1359	10633
68	1375	10582
69	1392	10540
70	1409	10504
71	1426	10458
72	1443	10422
73	1463	10401
74	1483	10386
75	1505	10379
76	1527	10377
77	1548	10363
78	1569	10351
79	1594	10367
80	1615	10351
81	1634	10328
82	1658	10333
83	1677	10304
84	1698	10288
85	1719	10274
86	1741	10267
87	1757	10224
88	1772	10179
89	1789	10139
90	1807	10108
91	1823	10070
92	1839	10030
93	1855	9989
94	1871	9947
95	1887	9907
96	1903	9871
97	1920	9838
98	1936	9801
99	1953	9766
100	1969	9728
101	1984	9689
102	2000	9651
103	2016	9615
104	2032	9579
105	2048	9548
106	2064	9512
107	2080	9478
108	2096	9443
109	2113	9412
110	2131	9390
111	2147	9358
112	2166	9338
113	2184	9314
114	2204	9296
115	2224	9280
116	2244	9265
117	2265	9252
118	2284	9232
119	2302	9210
120	2322	9192
121	2343	9182
122	2361	9159
123	2380	9138
124	2397	9111
125	2414	9084
126	2432	9058
127	2449	9033
128	2467	9008
129	2486	8989
130	2503	8961
131	2519	8934
132	2535	8901
133	2551	8872
134	2568	8847
135	2583	8815
136	2599	8786
137	2615	8755
138	2631	8727
139	2647	8697
140	2663	8669
141	2678	8640
142	2694	8612
143	2711	8585
144	2726	8556
145	2743	8530
146	2759	8504
147	2776	8479
148	2793	8454
149	2809	8428
150	2825	8401
151	2842	8377
152	2858	8351
153	2875	8327
154	2891	8302
155	2908	8278
156	2928	8262
157	2944	8236
158	2960	8211
159	2976	8184
160	2993	8163
161	3013	8147
162	3035	8137
163	3055	8121
164	3074	8106
165	3092	8085
166	3112	8069
167	3131	8052
168	3150	8035
169	3169	8017
170	3186	7995
171	3202	7969
172	3220	7948
173	3235	7920
174	3250	7894
175	3271	7882
176	3289	7862
177	3305	7837
178	3321	7813
179	3337	7788
180	3354	7764
181	3369	7738
182	3385	7714
183	3402	7691
184	3417	7667
185	3434	7644
186	3450	7620
187	3467	7598
188	3483	7576
189	3500	7553
190	3516	7530
191	3533	7508
192	3549	7485
193	3574	7479
194	3590	7457
195	3607	7436
196	3624	7413
197	3640	7391
198	3657	7369
199	3673	7346
200	3690	7325
201	3707	7304
202	3724	7283
203	3740	7260
204	3761	7247
205	3779	7228
206	3795	7205
207	3811	7182
208	3829	7164
209	3848	7147
210	3867	7130
211	3887	7115
212	3908	7101
213	3927	7083
214	3946	7067
215	3964	7047
216	3984	7031
217	4004	7017
218	4023	6999
219	4042	6982
220	4059	6962
221	4079	6945
222	4098	6928
223	4116	6909
224	4134	6890
225	4151	6870
226	4166	6846
227	4181	6822
228	4196	6799
229	4213	6778
230	4228	6755
231	4245	6733
232	4262	6714
233	4278	6691
234	4294	6670
235	4310	6648
236	4326	6626
237	4342	6605
238	4358	6583
239	4375	6562
240	4392	6542
241	4407	6520
242	4423	6498
243	4441	6479
244	4457	6459
245	4474	6439
246	4491	6419
247	4506	6396
248	4523	6376
249	4539	6354
250	4556	6335
251	4572	6314
252	4588	6293
253	4607	6275
254	4624	6256
255	4643	6239
256	4661	6221
257	4679	6202
258	4699	6187
259	4720	6173
260	4739	6156
261	4759	6139
262	4793	6142
263	4890	6224
264	4909	6205
265	4936	6198
266	4955	6180
267	4972	6159
268	4988	6138
269	5004	6117
270	5021	6096
271	5038	6075
272	5055	6054
273	5070	6032
274	5086	6011
275	5102	5990
276	5118	5968
277	5135	5947
278	5151	5927
279	5166	5904
280	5181	5882
281	5196	5860
282	5212	5838
283	5228	5817
284	5244	5796
285	5260	5775
286	5276	5754
287	5290	5731
288	5305	5709
289	5321	5688
290	5337	5667
291	5352	5646
292	5368	5624
293	5383	5603
294	5400	5583
295	5417	5563
296	5433	5543
297	5450	5523
298	5466	5503
299	5482	5482
300	5498	5462
301	5515	5442
302	5531	5421
303	5546	5401
304	5563	5380
305	5578	5359
306	5594	5339
307	5610	5318
308	5625	5298
309	5642	5278
310	5661	5261
311	5679	5242
312	5694	5221
313	5710	5201
314	5726	5181
315	5744	5162
316	5759	5141
317	5775	5121
318	5791	5101
319	5807	5081
320	5824	5062
321	5840	5042
322	5857	5023
323	5873	5003
324	5890	4983
325	5907	4964
326	5923	4945
327	5939	4925
328	5957	4907
329	5973	4887
330	5989	4867
331	6006	4848
332	6025	4831
333	6046	4815
334	6066	4799
335	6086	4782
336	6109	4767
337	6128	4750
338	6146	4732
339	6165	4714
340	6186	4698
341	6217	4690
342	6235	4672
343	6254	4654
344	6273	4636
345	6308	4630
346	6327	4613
347	6346	4595
348	6365	4578
349	6383	4559
350	6399	4539
351	6416	4520
352	6423	4494
353	6442	4476
354	6461	4459
355	6478	4440
356	6495	4421
357	6512	4402
358	6529	4383
359	6546	4364
360	6561	4344
361	6578	4325
362	6599	4308
363	6614	4288
364	6633	4270
365	6652	4253
366	6671	4235
367	6689	4217
368	6710	4200
369	6731	4184
370	6749	4165
371	6769	4149
372	6788	4131
373	6808	4114
374	6828	4097
375	6836	4072
376	6855	4055
377	6873	4036
378	6889	4017
379	6905	3997
380	6921	3978
381	6937	3959
382	6953	3939
383	6968	3919
384	6984	3900
385	7001	3881
386	7017	3862
387	7034	3843
388	7051	3824
389	7066	3805
390	7082	3786
391	7098	3766
392	7114	3747
393	7131	3728
394	7147	3709
395	7164	3690
396	7180	3671
397	7196	3652
398	7212	3633
399	7229	3614
400	7246	3596
401	7263	3577
402	7280	3558
403	7295	3539
404	7312	3520
405	7327	3501
406	7344	3482
407	7361	3464
408	7377	3445
409	7388	3424
410	7405	3405
411	7423	3387
412	7441	3369
413	7457	3350
414	7473	3331
415	7489	3312
416	7504	3293
417	7524	3276
418	7540	3257
419	7557	3238
420	7573	3219
421	7589	3201
422	7605	3182
423	7621	3163
424	7638	3145
425	7655	3126
426	7671	3108
427	7688	3089
428	7704	3070
429	7721	3052
430	7737	3033
431	7753	3015
432	7770	2996
433	7780	2976
434	7797	2957
435	7813	2939
436	7830	2920
437	7847	2902
438	7864	2884
439	7880	2865
440	7896	2847
441	7912	2828
442	7929	2810
443	7945	2791
444	7962	2773
445	7978	2754
446	7994	2736
447	8010	2717
448	8027	2699
449	8043	2681
450	8060	2662
451	8076	2644
452	8092	2626
453	8108	2607
454	8126	2589
455	8142	2571
456	8157	2552
457	8174	2534
458	8190	2516
459	8206	2497
460	8223	2479
461	8240	2461
462	8256	2443
463	8271	2424
464	8288	2406
465	8304	2388
466	8321	2369
467	8338	2351
468	8353	2333
469	8370	2315
470	8386	2296
471	8403	2278
472	8419	2260
473	8436	2242
474	8452	2224
475	8469	2206
476	8484	2187
477	8501	2169
478	8516	2151
479	8533	2133
480	8550	2115
481	8565	2097
482	8580	2078
483	8595	2060
484	8611	2041
485	8626	2023
486	8642	2005
487	8662	1988
488	8677	1969
489	8692	1951
490	8707	1933
491	8722	1914
492	8738	1896
493	8752	1878
494	8768	1860
495	8784	1841
496	8800	1823
497	8815	1805
498	8832	1787
499	8848	1769
500	8866	1752
501	8884	1734
502	8902	1716
503	8924	1699
504	8949	1683
505	8979	1668
506	9011	1652
507	9027	1634
508	9043	1616
509	9059	1598
510	9076	1580
511	9093	1563
512	9110	1545
513	9127	1527
514	9144	1509
515	9161	1491
516	9222	1480
517	9264	1466
518	9303	1452
519	9334	1436
520	9361	1419
521	9384	1402
522	9407	1385
523	9438	1368
524	9458	1351
525	9478	1333
526	9497	1315
527	9515	1297
528	9532	1279
529	9550	1261
530	9567	1243
531	9584	1225
532	9602	1207
533	9622	1189
534	9640	1171
535	9658	1153
536	9675	1135
537	9695	1117
538	9712	1099
539	9731	1081
540	9748	1063
541	9765	1045
542	9783	1026
543	9802	1009
544	9819	990
545	9836	972
546	9853	954
547	9868	936
548	9886	918
549	9902	900
550	9918	882
551	9937	864
552	9957	846
553	9976	828
554	9993	810
555	10011	792
556	10029	774
557	10046	756
558	10054	737
559	10073	719
560	10089	701
561	10106	683
562	10125	665
563	10142	647
564	10159	629
565	10176	611
566	10192	593
567	10209	575
568	10225	557
569	10243	539
570	10260	521
571	10276	503
572	10293	485
573	10309	466
574	10327	449
575	10344	431
576	10363	413
577	10401	395
578	10437	378
579	10454	360
580	10471	342
581	10486	324
582	10502	306
583	10518	288
584	10534	270
585	10550	252
586	10567	234
587	10584	216
588	10619	198
589	10636	180
590	10664	162
591	10686	144
592	10704	126
593	10722	108
594	10741	90
595	10760	72
596	10778	54
597	10795	36
598	10815	18
599	10831	0
